"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"F.Cu (mm)";"B.Cu (mm)";
001;"NET_1V8_VDDIO";4;0;0.0000;4.1788;0.0000;4.1788;4.1788;0.0000;
002;"NET_3.3V_CPLD_MAIN";58;4;6.4000;115.3962;0.0000;121.7962;96.6729;18.7232;
003;"NET_3V3_AUX";19;4;6.4000;69.6460;0.0000;76.0460;58.6240;11.0220;
004;"AG_CPLD_FAN_PWM1";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
005;"AG_CPLD_FAN_PWM1_R";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
006;"AG_CPLD_FAN_PWM2";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
007;"AG_CPLD_FAN_PWM2_R";2;6;9.6000;32.2669;0.0000;41.8669;8.2445;24.0224;
008;"AG_CPLD_FAN_PWM3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
009;"AG_CPLD_FAN_PWM3_R";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
010;"AG_CPLD_FAN_PWM4";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
011;"AG_CPLD_FAN_PWM4_R";2;4;6.4000;28.7264;0.0000;35.1264;6.1171;22.6094;
012;"AG_FAN1_FRONT_TACHO";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
013;"AG_FAN1_REAR_TACHO";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
014;"AG_FAN2_FRONT_TACHO";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
015;"AG_FAN2_REAR_TACHO";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
016;"AG_FAN3_FRONT_TACHO";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
017;"AG_FAN3_REAR_TACHO";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
018;"AG_FAN4_FRONT_TACHO";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
019;"AG_FAN4_REAR_TACHO";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
020;"GP_ASIC_GPIO8";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
021;"GP_ASIC_SOC_JTAG_BUF_EN_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
022;"GP_CEX_FU_EN_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
023;"GP_CEX_FU_REQ";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
024;"GP_CEX_GPIO0_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
025;"GP_CEX_GPIO1_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
026;"GP_CEX_PRESENT_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
027;"GP_CEX_REFCLK1_EN";2;2;3.2000;29.2688;0.0000;32.4688;3.5740;25.6948;
028;"GP_CLKS_I2C_SRC_SEL";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
029;"GP_CLK_BRD1_HW_ID0";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
030;"GP_CLK_BRD1_HW_ID1";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
031;"GP_CLK_BRD1_HW_ID2";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
032;"GP_CLK_BRD1_RSRVD1";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
033;"GP_CLK_BRD1_RSRVD1_R";2;4;6.4000;28.0716;0.0000;34.4716;11.1435;16.9281;
034;"GP_CLK_BRD1_RSRVD2";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
035;"GP_CLK_BRD1_RSRVD2_R";2;2;3.2000;30.4817;0.0000;33.6817;16.9750;13.5066;
036;"GP_CLK_BRD2_HW_ID0";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
037;"GP_CLK_BRD2_HW_ID1";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
038;"GP_CLK_BRD2_HW_ID2";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
039;"GP_CLK_BRD2_RSRVD1";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
040;"GP_CLK_BRD2_RSRVD1_R";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
041;"GP_CLK_BRD2_RSRVD2";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
042;"GP_CLK_BRD2_RSRVD2_R";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
043;"GP_CLK_BUF_CLKOUT_TYPE0";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
044;"GP_CLK_BUF_CLKOUT_TYPE1";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
045;"GP_CPLD_CEX_BIOS_DIS0_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
046;"GP_CPLD_CEX_BIOS_DIS1_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
047;"GP_CPLD_CEX_GPI1";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
048;"GP_CPLD_CEX_GPI1_R";2;4;6.4000;42.3556;0.0000;48.7556;16.3070;26.0486;
049;"GP_CPLD_CEX_GPI2_RTC_TYPE";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
050;"GP_CPLD_CEX_GPI3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
051;"GP_CPLD_CEX_GPI3_R";2;2;3.2000;25.0346;0.0000;28.2346;5.7138;19.3208;
052;"GP_CPLD_MAIN_PORTS1_RSVD1";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
053;"GP_CPLD_MAIN_PORTS1_RSVD2";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
054;"GP_CPLD_MAIN_PORTS2_RSVD1";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
055;"GP_CPLD_MAIN_PORTS2_RSVD2";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
056;"GP_CPLD_MAIN_PORTS3_RSVD1";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
057;"GP_CPLD_MAIN_PORTS3_RSVD2";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
058;"GP_DCDC_DVDD_T01_CPLD_ALERT_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
059;"GP_DCDC_DVDD_T23_CPLD_ALERT_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
060;"GP_DCDC_DVDD_T45_CPLD_ALERT_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
