"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"F.Cu (mm)";"B.Cu (mm)";
001;"AD_0_I2C_AUX";2;0;0.0000;8.7190;0.0000;8.7190;8.7190;0.0000;
002;"AD_1_I2C_AUX";2;0;0.0000;2.3722;0.0000;2.3722;2.3722;0.0000;
003;"AD_2_I2C_AUX";2;0;0.0000;4.2726;0.0000;4.2726;4.2726;0.0000;
004;"GP_ASIC_FU_EN_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
005;"GP_ASIC_FU_EN_L_R";2;0;0.0000;3.5867;0.0000;3.5867;3.5867;0.0000;
006;"GP_CEX_FU_EN_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
007;"GP_CEX_FU_EN_L_R";2;0;0.0000;3.2121;0.0000;3.2121;3.2121;0.0000;
008;"GP_CON_BUF_EN_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
009;"GP_GPIO_CPLD_CON_BUF_EN_L_R";2;0;0.0000;4.9477;0.0000;4.9477;4.9477;0.0000;
010;"GP_GPIO_OE_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
011;"GP_GPIO_OE_L_R";3;0;0.0000;5.4677;0.0000;5.4677;5.4677;0.0000;
012;"GP_GPIO_RESET_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
013;"GP_GPIO_RESET_L_R";3;0;0.0000;17.7098;0.0000;17.7098;17.7098;0.0000;
014;"GP_I2C_DCDC_A2D_EN_R";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
015;"GP_I2C_DCDC_SW_EN";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
016;"GP_I2C_DCDC_SW_EN_R";2;0;0.0000;2.7699;0.0000;2.7699;2.7699;0.0000;
017;"GP_I2C_TESTING_CON_EN";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
018;"GP_I2C_TESTING_CON_EN_R";2;0;0.0000;5.0319;0.0000;5.0319;5.0319;0.0000;
019;"GP_I2C_TESTING_S2S_EN";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
020;"GP_I2C_TESTING_S2S_EN_R";2;0;0.0000;3.3377;0.0000;3.3377;3.3377;0.0000;
021;"GP_SECURED_DIS_JUMPER";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
022;"GP_SECURED_DIS_JUMPER_GPIO_R";2;0;0.0000;1.8441;0.0000;1.8441;1.8441;0.0000;
023;"GP_SPI_COMEX_BURN_EN_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
024;"GP_SPI_COMEX_BURN_EN_L_R";2;0;0.0000;2.4293;0.0000;2.4293;2.4293;0.0000;
025;"GP_SPI_FW_BUF_EN_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
026;"GP_SPI_FW_BUF_EN_L_R";2;0;0.0000;4.0613;0.0000;4.0613;4.0613;0.0000;
027;"GP_SPI_FW_BURN_EN_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
028;"GP_SPI_FW_BURN_EN_L_R";2;0;0.0000;3.3550;0.0000;3.3550;3.3550;0.0000;
029;"GP_SPI_FW_BURN_SEL";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
030;"GP_SPI_FW_BURN_SEL_R";2;0;0.0000;4.1802;0.0000;4.1802;4.1802;0.0000;
031;"GP_SPI_FW_MUX_SEL";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
032;"GP_SPI_FW_MUX_SEL_3.3V_SSD_EN";2;0;0.0000;4.4436;0.0000;4.4436;4.4436;0.0000;
033;"GP_STRAP_FLASH_PRESENT_EN_R";2;0;0.0000;4.3932;0.0000;4.3932;4.3932;0.0000;
034;"GP_STRAP_LOCAL_FLASH_PRESENT";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
035;"I2C_TESTING_GPIO_SCL";2;0;0.0000;4.5177;0.0000;4.5177;4.5177;0.0000;
036;"I2C_TESTING_GPIO_SDA";2;0;0.0000;2.6292;0.0000;2.6292;2.6292;0.0000;
037;"L_ASIC_CON_JTAG_BUF_EN_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
038;"L_ASIC_CON_JTAG_BUF_EN_L_R";2;0;0.0000;4.2958;0.0000;4.2958;4.2958;0.0000;
039;"L_ASIC_JTAG_EN_L_R";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
040;"L_SOC_JTAG_BUF_EN_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
041;"L_SOC_JTAG_BUF_EN_R";2;0;0.0000;3.5559;0.0000;3.5559;3.5559;0.0000;
042;"SE_OSCI_50MHZ_OE_R";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
043;"SNN_GPIO_EXP_NC1";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
044;"S_1.8V_ASIC_QPS_EN";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
045;"S_1.8V_ASIC_QPS_PWR_EN_R";2;0;0.0000;4.9260;0.0000;4.9260;4.9260;0.0000;
046;"S_2.5V_OSC_EAST_WEST_EN";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
047;"S_2.5V_OSC_EAST_WEST_EN_R";2;0;0.0000;4.2556;0.0000;4.2556;4.2556;0.0000;
048;"S_3.3V_ASIC_EN";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
049;"S_3.3V_ASIC_EN_R";2;0;0.0000;3.9030;0.0000;3.9030;3.9030;0.0000;
050;"S_3.3V_SSD_EN";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
051;"S_3.3V_SSD_PWR_EN_R";2;0;0.0000;2.7247;0.0000;2.7247;2.7247;0.0000;
052;"S_5V_CEX_PWR_EN_R";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
053;"S_5V_DRV_EN";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
054;"S_5V_DRV_PWR_EN_R";2;0;0.0000;5.0042;0.0000;5.0042;5.0042;0.0000;
055;"S_ASIC_OSC_EAST_EN_R";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
056;"S_ASIC_OSC_WEST_EN_R";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
057;"S_ASIC_RCLK_EN";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
058;"S_ASIC_RCLK_EN_R";2;0;0.0000;3.5677;0.0000;3.5677;3.5677;0.0000;
059;"S_ASIC_RST_L";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
060;"S_ASIC_RST_L_R";2;0;0.0000;3.7555;0.0000;3.7555;3.7555;0.0000;
061;"S_ASIC_TCXO_EN";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
062;"S_ASIC_TCXO_EN_R";2;0;0.0000;1.8847;0.0000;1.8847;1.8847;0.0000;
063;"S_CEX_FU_EN_PS2_ON";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
064;"S_CEX_PWR_OK_PS1_ON";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
065;"S_CPLD_CEX_PWR_OK";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
066;"S_CPLD_CEX_PWR_OK_R";2;0;0.0000;2.0636;0.0000;2.0636;2.0636;0.0000;
067;"S_DVDD_0.9V_EAST_EN";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
068;"S_DVDD_0.9V_EAST_EN_R";2;0;0.0000;4.7419;0.0000;4.7419;4.7419;0.0000;
